År-månad	HÄRRYDA	PARTILLE	ÖCKERÖ	STENUNGSUND	TJÖRN	ORUST	ALE	LERUM	VÅRGÅRDA	BOLLEBYGD	LILLA EDET	MARK	HERRLJUNGA	GÖTEBORG	MÖLNDAL	KUNGÄLV	ALINGSÅS	kungsbacka	varberg	falkenberg
2011M01	0	1	1	1	0	0	1	0	0	0	0	0	0	14	2	1	0	0	2	0
2011M02	0	0	0	0	0	1	0	0	0	0	0	0	0	19	3	1	2	1	1	2
2011M03	0	2	0	0	1	0	0	0	0	0	0	0	0	27	4	3	1	3	2	1
2011M04	0	1	0	1	1	0	1	1	0	0	0	0	0	33	4	3	0	3	1	1
2011M05	2	0	0	0	2	0	0	1	1	0	0	0	2	37	3	2	1	1	3	0
2011M06	0	0	0	0	2	0	0	1	0	0	0	0	0	21	1	1	0	1	0	2
2011M07	0	0	0	0	0	0	0	0	0	1	0	1	0	10	1	0	0	1	0	0
2011M08	0	0	0	0	2	0	1	0	0	0	0	0	0	21	2	1	1	1	0	1
2011M09	0	1	0	0	1	0	1	1	0	0	0	0	0	23	1	2	2	5	1	1
2011M10	0	1	0	0	0	0	0	2	0	0	0	0	0	21	6	2	1	2	1	2
2011M11	0	0	0	0	0	0	0	2	1	0	0	0	0	46	1	1	0	1	0	1
2011M12	0	0	0	0	0	0	1	0	0	0	0	0	0	15	1	1	1	0	0	1
2012M01	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	1	0	1
2012M02	1	0	0	0	1	0	0	0	0	0	0	1	0	20	1	0	2	1	0	0
2012M03	0	0	0	0	1	0	0	0	0	0	0	0	0	20	3	0	2	1	1	0
2012M04	0	0	0	1	0	0	0	0	0	0	0	0	1	15	4	0	0	0	1	0
2012M05	0	0	0	0	0	0	0	0	0	0	0	1	0	24	1	0	0	1	1	0
2012M06	0	1	0	0	0	1	0	0	0	0	0	0	0	51	3	2	0	0	1	1
2012M07	0	0	1	0	0	0	0	0	0	0	0	1	0	19	12	4	2	4	4	4
2012M08	1	2	0	0	0	0	2	2	0	0	1	0	0	29	4	0	3	3	3	2
2012M09	0	0	0	0	0	0	0	1	1	0	0	0	0	45	3	3	1	1	1	2
2012M10	1	0	1	2	1	0	0	3	2	0	0	0	0	65	2	3	2	2	2	5
2012M11	1	0	2	1	0	0	0	2	0	0	0	2	0	38	4	2	4	2	0	2
2012M12	1	0	0	0	0	0	0	1	0	0	0	1	0	41	3	0	2	4	1	1
2013M01	0	0	0	1	0	0	1	1	1	0	0	0	0	84	1	3	1	6	1	2
2013M02	0	1	2	0	1	1	0	3	0	0	0	1	0	56	8	2	5	5	2	1
2013M03	4	3	1	0	0	0	1	2	3	1	0	2	0	40	8	1	1	3	4	0
2013M04	0	1	0	0	0	0	0	1	0	0	0	0	0	39	4	4	2	8	2	1
2013M05	2	1	0	0	0	0	3	1	0	0	0	1	0	50	8	1	2	5	5	2
2013M06	0	2	2	2	0	0	1	1	0	0	1	1	0	59	2	1	1	1	2	2
2013M07	0	1	0	0	0	0	5	0	0	0	0	1	0	42	4	1	2	4	2	1
2013M08	3	11	1	4	1	0	1	0	0	0	0	1	2	31	2	1	3	4	2	4
2013M09	0	0	0	1	1	2	1	2	0	2	1	2	1	73	5	3	2	2	5	1
2013M10	1	1	0	0	1	3	2	1	1	0	0	2	0	64	6	2	5	14	5	2
2013M11	1	1	1	1	1	0	1	0	0	0	1	0	0	43	2	0	3	1	3	1
2013M12	0	0	0	2	0	0	0	2	0	1	1	1	0	42	7	5	1	5	1	0
2014M01	3	4	0	1	2	0	0	0	0	0	0	1	0	34	4	2	2	5	2	8
