År-månad	SVALÖV	STAFFANSTORP	BURLÖV	VELLINGE	ÖRKELLJUNGA	BJUV	KÄVLINGE	LOMMA	SVEDALA	SKURUP	SJÖBO	Hörby	Höör	Tomelilla	Perstorp	Klippan	Åstorp	Båstad	Malmö	Lund	Landskrona	Helsingborg	Höganäs	Eslöv	Ystad	Trelleborg	Simrishamn	Ängelholm
2011M01	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	10	2	0	6	0	1	1	1	0	0
2011M02	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	0	1	6	0	0	0	1	0	2
2011M03	0	1	0	1	1	0	2	1	0	7	0	4	0	0	1	0	0	0	23	7	2	2	0	0	0	0	0	9
2011M04	0	1	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	7	5	0	3	0	0	1	0	0	10
2011M05	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	14	0	3	0	0	5	1	0	4
2011M06	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7	4	1	5	0	0	0	2	0	3
2011M07	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	7
2011M08	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	1	11	6	0	4	0	0	0	0	0	5
2011M09	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	6	5	0	2	0	0	1	0	0	3
2011M10	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	4	7	0	0	0	0	0	0	0	5
2011M11	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	12	4	0	4	0	0	0	0	0	6
2011M12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	2
2012M01	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	2	0	0	0	1	0	2
2012M02	0	0	0	2	0	1	1	0	0	0	0	0	1	2	0	0	0	1	7	3	0	3	0	0	1	0	0	2
2012M03	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	10	3	0	1	0	0	0	1	0	8
2012M04	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	1	0	1
2012M05	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	3	0	2	0	0	0	0	0	2
2012M06	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	15	5	1	3	0	0	2	0	2	2
2012M07	0	0	0	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	21	3	0	6	2	0	3	0	0	11
2012M08	0	0	2	1	3	0	2	0	0	0	0	0	3	1	0	0	0	0	20	5	0	7	0	0	1	1	1	4
2012M09	0	1	0	1	4	0	1	1	0	0	1	0	2	1	0	1	0	0	33	6	0	7	0	0	0	1	0	5
2012M10	0	3	2	3	1	1	1	0	0	1	0	0	2	0	0	0	0	0	22	13	1	7	0	0	1	1	0	4
2012M11	0	1	2	1	1	0	1	0	1	0	0	0	2	0	0	1	0	0	21	9	0	7	0	3	1	2	1	4
2012M12	0	0	0	2	1	0	0	0	0	0	0	0	4	0	0	0	0	0	16	5	0	4	0	0	1	0	0	4
2013M01	0	2	1	0	1	0	0	1	2	0	0	0	2	1	0	0	0	0	18	7	1	6	0	1	2	0	0	1
2013M02	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	1	0	1	21	22	1	5	3	0	1	0	1	1
2013M03	0	1	2	1	2	0	0	0	0	0	0	0	4	0	0	0	0	1	22	5	3	10	1	0	5	1	0	5
2013M04	4	1	0	3	0	0	0	1	0	1	0	1	2	0	0	0	0	0	14	7	0	4	0	0	2	1	2	2
2013M05	0	0	0	2	2	0	1	3	3	1	0	0	3	0	1	0	0	1	18	7	0	4	2	1	6	0	3	2
