År-Månad	UPPLANDS VÄSBY	VALLENTUNA	ÖSTERÅKER	VÄRMDÖ	JÄRFÄLLA	EKERÖ	HUDDINGE	BOTKYRKA	SALEM	HANINGE	TYRESÖ	UPPLANDS-BRO	NYKVARN	TÄBY	DANDERYD	SOLLENTUNA	STOCKHOLM	SÖDERTÄLJE	NACKA	SUNDBYBERG	SOLNA	LIDINGÖ	VAXHOLM	NORRTÄLJE	SIGTUNA	NYNÄSHAMN	HÅBO	KNIVSTA	HEBY	TIERP	UPPSALA	ENKÖPING	ÖSTHAMMAR	GNESTA	FLEN	STRÄNGNÄS	TROSA
2011M01	2	1	1	1	0	0	5	4	0	3	0	0	0	2	3	1	64	4	2	11	8	0	1	3	0	1	1	0	0	0	6	0	0	0	0	1	0
2011M02	1	1	0	1	1	1	4	2	0	2	1	0	2	6	1	0	68	4	4	2	10	1	1	2	0	0	0	0	0	0	9	0	0	0	0	1	1
2011M03	0	0	1	1	1	0	9	3	0	1	1	0	0	6	1	4	101	2	12	16	5	3	0	0	1	0	0	0	0	0	6	1	0	0	0	5	0
2011M04	2	4	1	1	1	0	2	4	1	5	2	1	0	9	3	4	80	0	12	6	19	0	2	1	0	0	0	0	0	0	3	2	0	0	1	3	1
2011M05	5	2	1	1	2	0	6	5	0	3	0	1	0	6	1	1	70	0	12	1	11	2	1	2	2	0	0	1	0	0	2	2	0	0	1	1	0
2011M06	2	1	1	0	0	0	1	3	0	1	2	0	0	2	0	3	52	2	9	0	4	4	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0
2011M07	1	0	1	1	0	0	3	1	1	0	0	0	0	4	1	1	26	2	4	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1
2011M08	3	1	0	1	1	3	5	1	1	1	2	0	0	7	3	0	61	2	3	5	11	1	0	1	0	0	1	0	0	0	3	1	0	0	0	0	2
2011M09	0	1	1	0	2	2	6	1	0	0	2	0	0	4	0	0	69	0	3	11	1	2	2	2	0	0	0	0	0	0	1	2	0	1	0	1	0
2011M10	0	0	2	1	0	0	7	3	0	1	1	0	0	6	2	0	28	1	2	1	3	1	0	0	1	0	0	0	0	0	3	2	0	0	0	1	0
2011M11	2	2	0	1	4	0	8	3	0	0	2	0	0	4	1	1	54	4	4	1	11	2	1	1	0	0	0	0	0	0	4	0	1	0	0	1	0
2011M12	0	2	0	1	1	1	3	2	0	0	0	0	0	4	2	1	47	2	8	10	7	1	0	1	0	0	0	0	0	0	3	0	0	1	0	3	0
2012M01	0	0	2	0	0	0	0	0	0	0	1	0	0	4	1	0	30	4	4	2	3	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
2012M02	3	0	2	0	1	0	2	0	0	2	0	0	0	2	2	0	23	2	3	2	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0
2012M03	0	0	0	2	0	0	1	3	1	0	1	1	0	1	0	2	49	4	2	6	3	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0
2012M04	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	1	57	4	0	0	2	4	0	2	1	0	2	1	0	0	6	1	0	0	0	0	0
2012M05	1	0	0	1	3	1	6	1	1	1	1	0	0	2	0	1	52	6	4	28	3	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
2012M06	5	0	3	1	1	2	4	2	0	3	0	0	0	4	3	1	51	2	8	9	3	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1
2012M07	0	0	3	0	1	0	15	0	0	3	0	0	1	0	2	3	47	2	6	13	6	1	0	4	0	0	0	0	0	0	7	4	0	0	0	2	0
2012M08	2	0	4	0	0	1	7	5	0	2	1	1	0	5	6	8	73	3	0	5	2	1	0	2	1	0	0	0	0	0	12	2	0	0	0	1	0
2012M09	4	1	7	2	1	1	8	4	2	4	3	2	0	5	3	3	123	8	10	3	9	2	2	3	3	0	0	1	0	0	13	1	0	0	1	3	1
2012M10	2	1	3	3	5	3	19	3	1	6	1	0	1	8	1	2	113	5	14	9	13	4	2	0	1	0	0	0	0	0	25	1	0	0	0	8	0
2012M11	6	2	3	3	7	0	22	7	2	5	1	3	0	3	1	10	90	9	15	14	9	1	0	8	1	0	0	0	0	0	10	1	0	2	0	4	0
2012M12	0	1	5	5	1	1	16	1	0	1	1	0	0	15	5	7	99	3	9	32	6	4	2	3	2	0	0	0	0	0	3	1	0	0	0	5	0
2013M01	3	3	3	4	2	1	11	2	0	1	0	2	1	5	2	10	105	4	12	11	8	2	0	5	0	1	0	0	0	0	4	4	0	0	1	9	1
2013M02	4	0	0	3	2	1	15	4	1	4	0	1	0	4	4	7	130	6	18	15	10	2	1	3	0	1	0	0	0	0	13	1	0	0	0	3	0
2013M03	3	0	2	3	2	2	14	12	1	0	1	0	1	4	5	3	123	1	18	5	8	2	0	3	3	0	1	0	0	0	10	3	0	0	0	7	0
2013M04	1	1	2	3	0	0	8	5	0	4	1	0	0	1	5	10	123	2	5	5	9	1	2	5	3	0	1	1	0	0	8	2	0	0	1	0	0
2013M05	2	1	3	1	4	1	8	5	0	5	2	0	0	11	7	8	131	2	10	14	12	9	1	2	2	0	0	0	0	0	16	4	0	0	0	2	0
2013M06	2	0	4	1	1	0	11	4	0	4	3	0	1	10	2	4	86	5	12	5	12	17	2	2	2	0	0	1	0	0	16	2	1	0	0	3	0
2013M07	5	2	10	4	1	1	12	7	0	5	3	0	0	7	1	5	87	4	5	2	11	6	1	0	1	1	1	0	0	0	8	3	1	0	1	4	0
2013M08	4	2	5	2	3	0	23	6	0	6	1	0	0	7	2	5	126	8	15	14	8	5	1	3	1	0	0	1	0	0	14	5	1	0	0	5	0
2013M09	6	4	6	2	6	0	9	7	2	8	0	1	0	12	4	6	134	9	9	3	5	7	0	1	1	3	1	0	0	0	17	4	0	0	0	5	0
2013M10	2	2	5	5	7	1	14	7	0	8	4	1	0	4	5	3	131	8	8	12	15	2	1	1	1	0	1	0	0	0	18	1	1	0	0	9	1
2013M11	7	3	4	4	6	2	8	8	3	9	2	2	0	10	3	9	119	9	19	10	6	4	2	1	3	0	1	1	0	1	11	5	0	0	0	12	0
2013M12	3	1	9	3	6	1	12	7	0	4	3	1	0	13	4	12	129	3	23	11	18	1	0	0	2	1	2	0	0	0	11	5	0	0	0	2	0
2014M01	1	2	6	7	5	0	16	3	0	1	2	0	0	8	3	5	106	1	13	7	10	17	1	2	1	0	1	0	0	0	20	5	1	0	0	4	0
2014M02	5	0	4	2	2	1	13	4	0	3	5	1	0	5	2	5	126	5	11	4	36	2	1	4	4	0	1	1	0	0	15	3	0	1	0	4	0
2014M03	7	3	5	0	5	5	20	4	1	7	3	2	1	17	21	8	190	6	13	55	71	3	2	4	3	0	1	1	0	0	33	2	0	1	1	2	4
2014M04	4	1	6	2	7	2	15	4	1	4	4	2	0	5	10	11	211	6	37	5	30	5	2	2	4	0	2	1	0	0	18	2	0	0	1	4	1
2014M05	1	1	13	5	5	3	17	6	2	8	3	1	0	10	7	12	167	7	32	15	30	4	1	1	1	2	2	1	0	3	22	5	2	0	0	2	1
2014M06	6	4	11	4	12	5	44	12	2	2	2	1	1	18	22	5	212	7	34	11	38	3	2	3	4	1	2	1	0	1	30	4	1	1	1	5	3
2014M07	1	4	6	8	6	0	7	4	1	6	8	1	0	9	5	13	192	7	27	8	19	6	4	5	1	0	0	1	0	0	23	3	0	0	0	10	3
2014M08	5	2	9	3	4	2	19	8	1	2	4	2	0	10	7	7	320	4	15	22	24	5	1	1	3	0	2	1	0	0	21	12	0	0	0	4	0
2014M09	5	5	4	3	5	2	41	6	1	2	1	0	2	5	11	10	210	6	17	18	19	3	1	2	4	1	0	2	0	0	25	6	1	0	1	5	0
2014M10	16	6	4	1	5	3	71	5	1	3	1	0	0	9	10	5	352	9	20	14	14	1	0	8	6	0	2	0	0	1	34	4	0	0	0	5	0
2014M11	21	7	7	3	6	2	16	5	1	9	2	1	2	8	16	2	155	12	16	8	15	4	4	3	6	1	2	1	0	0	35	5	0	2	0	4	0
2014M12	13	9	12	2	2	1	36	5	1	5	2	0	0	11	9	11	311	7	15	8	14	4	1	1	2	1	0	1	0	0	34	7	0	1	0	4	4
2015M01	4	1	16	0	4	4	36	2	0	5	5	1	0	4	6	15	154	9	8	8	16	5	2	4	3	0	2	0	0	0	31	3	0	0	1	5	2
2015M02	7	0	7	2	9	3	69	11	1	7	0	0	1	7	9	9	164	8	15	68	5	13	2	3	0	1	0	0	0	0	24	2	2	1	0	5	0
2015M03	7	4	10	5	13	2	44	4	0	8	5	2	0	13	18	23	319	18	16	12	16	6	2	3	3	0	2	2	1	0	65	7	0	0	1	9	0
2015M04	4	4	8	5	3	7	15	8	3	8	4	0	1	16	15	15	258	12	22	5	36	10	2	5	3	0	4	2	0	1	20	7	0	1	0	3	1
2015M05	4	0	7	3	7	3	18	7	2	11	5	1	0	16	14	17	251	16	25	10	27	4	3	1	6	1	1	1	0	0	18	5	1	0	0	3	0
2015M06	6	2	13	1	5	5	154	5	2	5	3	0	2	15	22	26	289	12	25	14	48	8	4	6	4	1	1	0	0	0	71	8	1	0	3	8	1
2015M07	0	5	9	4	7	2	25	7	0	9	1	2	0	11	12	12	202	8	21	7	26	3	0	2	5	0	0	4	0	0	32	2	0	1	2	14	0
2015M08	3	2	6	4	4	5	52	7	3	3	4	0	0	14	13	18	243	21	26	12	30	2	4	1	8	1	1	1	0	1	29	3	0	1	2	5	1
2015M09	6	8	10	2	6	2	62	7	2	4	3	1	0	17	10	20	280	41	26	23	28	8	2	1	7	0	0	2	0	0	38	4	0	0	2	5	1
2015M10	3	5	5	8	10	7	14	13	1	9	1	3	0	11	11	27	324	16	32	16	27	2	3	1	9	1	0	2	0	0	38	7	0	0	2	3	0
2015M11	6	5	10	10	6	6	32	8	1	10	5	4	1	12	14	22	334	13	19	9	30	4	5	4	6	0	2	4	0	2	42	3	0	2	0	1	0
2015M12	11	2	13	7	14	9	50	8	0	11	8	7	1	13	16	20	718	14	27	31	65	5	2	9	8	0	1	0	0	1	113	11	2	1	4	7	3
2016M01	2	3	10	5	8	7	24	6	1	4	2	0	2	5	5	25	172	11	11	12	11	6	5	2	6	0	2	2	1	2	29	4	0	1	1	7	1
2016M02	5	5	12	3	10	4	35	4	1	8	5	4	0	6	13	39	305	14	23	18	83	10	5	8	5	0	1	0	3	1	37	7	1	0	3	3	2
2016M03	8	5	19	12	11	4	97	12	2	9	4	3	1	14	14	29	527	12	44	12	73	10	6	8	8	1	2	3	0	1	70	9	0	1	5	10	1
2016M04	8	7	10	9	3	4	32	8	2	11	6	3	0	21	26	69	503	37	38	15	67	4	2	6	3	1	2	3	0	0	36	5	0	1	0	6	2
2016M05	3	4	10	9	13	7	31	3	1	10	5	1	0	20	15	21	471	42	37	14	122	26	3	7	6	0	1	2	0	0	46	11	0	0	2	5	0
2016M06	5	9	8	5	6	4	48	9	4	14	4	1	0	11	29	40	467	86	36	8	102	6	1	5	5	0	3	1	0	0	47	12	0	0	0	9	0
2016M07	5	3	6	10	11	1	40	4	1	12	6	3	0	16	15	22	380	35	34	13	95	7	1	5	3	0	1	4	0	0	48	8	1	0	1	6	0
2016M08	6	6	17	3	15	12	60	11	4	15	3	1	1	14	10	38	389	31	46	19	92	11	0	11	7	1	4	5	0	0	38	9	1	0	1	9	2
2016M09	10	13	14	12	10	3	49	13	3	15	5	2	3	34	24	68	663	47	46	76	119	26	6	15	9	0	7	2	0	2	58	11	1	0	2	19	0
